(0, 1)
(1, 1)
(2, 2)
(3, 3)
(4, 7)
(5, 4)
(6, 13)
(7, 6)
(8, 15)
(9, 11)
(10, 22)
(11, 12)
(12, 25)
(13, 18)
(14, 28)
(15, 20)
(16, 34)
(17, 22)
(18, 42)
(19, 27)
(20, 44)
(21, 34)
(22, 48)
(23, 35)
(24, 55)
(25, 38)
(26, 59)
(27, 44)
(28, 62)
(29, 47)
(30, 69)
(31, 49)
(32, 72)
(33, 55)
(34, 81)
(35, 57)
(36, 87)
(37, 65)
(38, 90)
(39, 70)
(40, 98)
(41, 72)
(42, 103)
(43, 79)
(44, 105)
(45, 83)
(46, 113)
(47, 84)
(48, 117)
(49, 91)
(50, 122)
(51, 94)
(52, 129)
(53, 98)
(54, 133)
(55, 104)
(56, 137)
(57, 107)
(58, 145)
(59, 110)
(60, 148)
(61, 117)
(62, 152)
(63, 119)
(64, 159)
(65, 122)
(66, 169)
(67, 128)
(68, 172)
(69, 137)
(70, 179)
(71, 139)
(72, 188)
(73, 145)
(74, 192)
(75, 153)
(76, 198)
(77, 156)
(78, 207)
(79, 161)
(80, 210)
(81, 169)
(82, 216)
(83, 171)
(84, 224)
(85, 176)
(86, 227)
(87, 183)
(88, 232)
(89, 185)
(90, 241)
(91, 189)
(92, 243)
(93, 197)
(94, 248)
(95, 198)
(96, 256)
(97, 202)
(98, 262)
(99, 209)
(100, 266)
(101, 214)
(102, 274)
(103, 217)
(104, 279)
(105, 224)
(106, 284)
(107, 228)
(108, 291)
(109, 232)
(110, 296)
(111, 238)
(112, 300)
(113, 242)
(114, 309)
(115, 245)
(116, 313)
(117, 253)
(118, 317)
(119, 256)
(120, 325)
(121, 259)
(122, 330)
(123, 266)
(124, 333)
(125, 270)
(126, 341)
(127, 272)
(128, 345)
(129, 279)
(130, 356)
(131, 282)
(132, 363)
(133, 292)
(134, 367)
(135, 298)
(136, 377)
(137, 301)
(138, 385)
(139, 310)
(140, 388)
(141, 317)
(142, 398)
(143, 319)
(144, 405)
(145, 328)
(146, 410)
(147, 334)
(148, 419)
(149, 338)
(150, 426)
(151, 346)
(152, 430)
(153, 352)
(154, 440)
(155, 355)
(156, 446)
(157, 364)
(158, 450)
(159, 369)
(160, 459)
(161, 372)
(162, 466)
(163, 380)
(164, 469)
(165, 386)
(166, 478)
(167, 388)
(168, 484)
(169, 396)
(170, 488)
(171, 401)
(172, 496)
(173, 404)
(174, 502)
(175, 411)
(176, 505)
(177, 416)
(178, 515)
(179, 418)
(180, 520)
(181, 427)
(182, 523)
(183, 431)
(184, 532)
(185, 433)
(186, 538)
(187, 441)
(188, 540)
(189, 446)
(190, 549)
(191, 447)
(192, 554)
(193, 455)
(194, 561)
(195, 459)
(196, 569)
(197, 465)
(198, 574)
(199, 472)
(200, 580)
(201, 476)
(202, 589)
(203, 481)
(204, 593)
(205, 489)
(206, 599)
(207, 492)
(208, 607)
(209, 497)
(210, 613)
(211, 504)
(212, 618)
(213, 509)
(214, 626)
(215, 513)
(216, 631)
(217, 520)
(218, 637)
(219, 524)
(220, 644)
(221, 529)
(222, 649)
(223, 535)
(224, 654)
(225, 539)
(226, 664)
(227, 543)
(228, 668)
(229, 552)
(230, 673)
(231, 555)
(232, 682)
(233, 559)
(234, 687)
(235, 567)
(236, 691)
(237, 571)
(238, 700)
(239, 574)
(240, 704)
(241, 582)
(242, 710)
(243, 585)
(244, 718)
(245, 590)
(246, 722)
(247, 597)
(248, 727)
(249, 600)
(250, 736)
(251, 604)
(252, 739)
(253, 612)
(254, 744)
(255, 614)
(256, 752)
(257, 618)
(258, 764)
(259, 625)
(260, 768)
(261, 636)
(262, 776)
(263, 639)
(264, 787)
(265, 646)
(266, 792)
(267, 656)
(268, 799)
(269, 660)
(270, 810)
(271, 666)
(272, 814)
(273, 676)
(274, 823)
(275, 679)
(276, 833)
(277, 687)
(278, 837)
(279, 696)
(280, 845)
(281, 699)
(282, 856)
(283, 706)
(284, 859)
(285, 716)
(286, 867)
(287, 718)
(288, 877)
(289, 725)
(290, 883)
(291, 734)
(292, 890)
(293, 739)
(294, 900)
(295, 745)
(296, 905)
(297, 754)
(298, 913)
(299, 758)
(300, 922)
(301, 765)
(302, 927)
(303, 773)
(304, 934)
(305, 777)
(306, 945)
(307, 783)
(308, 949)
(309, 793)
(310, 956)
(311, 796)
(312, 966)
(313, 802)
(314, 971)
(315, 811)
(316, 977)
(317, 815)
(318, 987)
(319, 820)
(320, 991)
(321, 829)
(322, 999)
(323, 832)
(324, 1008)
(325, 839)
(326, 1012)
(327, 847)
(328, 1019)
(329, 850)
(330, 1029)
(331, 856)
(332, 1032)
(333, 865)
(334, 1039)
(335, 867)
(336, 1048)
(337, 873)
(338, 1053)
(339, 881)
(340, 1059)
(341, 885)
(342, 1068)
(343, 890)
(344, 1072)
(345, 898)
(346, 1079)
(347, 901)
(348, 1087)
(349, 907)
(350, 1091)
(351, 914)
(352, 1097)
(353, 917)
(354, 1108)
(355, 922)
(356, 1111)
(357, 932)
(358, 1117)
(359, 934)
(360, 1127)
(361, 939)
(362, 1131)
(363, 948)
(364, 1136)
(365, 951)
(366, 1146)
(367, 955)
(368, 1149)
(369, 964)
(370, 1156)
(371, 966)
(372, 1165)
(373, 972)
(374, 1168)
(375, 980)
(376, 1174)
(377, 982)
(378, 1184)
(379, 987)
(380, 1186)
(381, 996)
(382, 1192)
(383, 997)
(384, 1201)
(385, 1002)
(386, 1209)
(387, 1010)
(388, 1214)
(389, 1017)
(390, 1223)
(391, 1021)
(392, 1230)
(393, 1029)
(394, 1236)
(395, 1035)
(396, 1244)
(397, 1040)
(398, 1251)
(399, 1047)
(400, 1256)
(401, 1053)
(402, 1266)
(403, 1057)
(404, 1272)
(405, 1066)
(406, 1277)
(407, 1071)
(408, 1286)
(409, 1075)
(410, 1293)
(411, 1083)
(412, 1297)
(413, 1089)
(414, 1306)
(415, 1092)
(416, 1312)
(417, 1100)
(418, 1319)
(419, 1105)
(420, 1327)
(421, 1111)
(422, 1333)
(423, 1118)
(424, 1339)
(425, 1123)
(426, 1348)
(427, 1128)
(428, 1353)
(429, 1136)
(430, 1359)
(431, 1140)
(432, 1367)
(433, 1145)
(434, 1374)
(435, 1152)
(436, 1379)
(437, 1158)
(438, 1387)
(439, 1162)
(440, 1393)
(441, 1169)
(442, 1399)
(443, 1174)
(444, 1406)
(445, 1179)
(446, 1412)
(447, 1185)
(448, 1417)
(449, 1190)
(450, 1428)
