0 1	0 1
1 1	1 1
2 2	2 2
3 3	3 3
4 7	4 7
5 4	5 4
6 13	6 13
7 6	7 6
8 15	8 15
9 11	9 11
10 22	10 22
11 12	11 12
12 25	12 25
13 18	13 18
14 28	14 28
15 20	15 20
16 34	16 34
17 22	17 22
18 42	18 42
19 27	19 27
20 44	20 44
21 34	21 34
22 48	22 48
23 35	23 35
24 55	24 55
25 38	25 38
26 59	26 59
27 44	27 44
28 62	28 62
29 47	29 47
30 69	30 69
31 49	31 49
32 72	32 72
33 55	33 55
34 81	34 81
35 57	35 57
36 87	36 87
37 65	37 65
38 90	38 90
39 70	39 70
40 98	40 98
41 72	41 72
42 103	42 103
43 79	43 79
44 105	44 105
45 83	45 83
46 113	46 113
47 84	47 84
48 117	48 117
49 91	49 91
50 122	50 122
51 94	51 94
52 129	52 129
53 98	53 98
54 133	54 133
55 104	55 104
56 137	56 137
57 107	57 107
58 145	58 145
59 110	59 110
60 148	60 148
61 117	61 117
62 152	62 152
63 119	63 119
64 159	64 159
65 122	65 122
66 169	66 169
67 128	67 128
68 172	68 172
69 137	69 137
70 179	70 179
71 139	71 139
72 188	72 188
73 145	73 145
74 192	74 192
75 153	75 153
76 198	76 198
77 156	77 156
78 207	78 207
79 161	79 161
80 210	80 210
81 169	81 169
82 216	82 216
83 171	83 171
84 224	84 224
85 176	85 176
86 227	86 227
87 183	87 183
88 232	88 232
89 185	89 185
90 241	90 241
91 189	91 189
92 243	92 243
93 197	93 197
94 248	94 248
95 198	95 198
96 256	96 256
97 202	97 202
98 262	98 262
99 209	99 209
100 266	100 266
101 214	101 214
102 274	102 274
103 217	103 217
104 279	104 279
105 224	105 224
106 284	106 284
107 228	107 228
108 291	108 291
109 232	109 232
110 296	110 296
111 238	111 238
112 300	112 300
113 242	found 300 at 112
114 309	
115 245	
116 313	
117 253	
118 317	
119 256	
120 325	
121 259	
122 330	
123 266	
124 333	
125 270	
126 341	
127 272	
128 345	
129 279	
130 356	
131 282	
132 363	
133 292	
134 367	
135 298	
136 377	
137 301	
found 301 at 137	
